Code,Name,Cost,OnBox,Img
10012,Розетка тройная встравая с заземлением,8.29,48,10012-1.png
10012,Розетка тройная встравая с заземлением,8.29,48,10012.png
11101,Вилка прямая с заземлен.,2.43,500,11101.png
11102 white,Гнездо штепсельное с заземлен.,2.43,400,11102-white.png
11102 black,Гнездо штепсельное с заземлен. (Черное),2.43,400,11102-white.png
11103 white,Вилка штепсельная с заземлен. с ручкой ( L),2.43,500,11103-white.png
11103 black,Вилка штепсельная с заземлен. с ручкой ( L) (Черная),2.43,500,11103-white.png
11103-UPS,Вилка штепсельная с заземлен. с ручкой ( L)- UPS,2.43,500,11103-white.png
11104,Вилка обычная без заземлен.,1.80,500,11104.png
11105,Гнездо штепсельное без заземлен .,1.80,500,11105.png
11109 white,Вилка плоская,1.60,1000,11109.png
11109 black,Вилка плоская (Черная),1.60,1000,11109.png
11110 white,Гнездо плоское,1.60,1000,11110.png
11110 black,Гнездо плоское (Черное),1.60,1000,11110.png
11111,Гнездо штепсельное с заземлен.,2.35,500,11111.png
11112 white,Вилка обычная без заземлен. (Ups),1.73,500,11112.png
11112 black,Вилка обычная без заземлен. (Ups) (Черная),1.73,500,11112.png
11113,Гнездо штепсельное без заземлен.,1.86,500,11113.png
11114,"Переходник Ø 4 - Ø4,80",2.55,1000,11114.png
11115,Вилка американская,2.00,1000,11115.png
11116 white,Вилка прямая с заземлен.,2.43,500,11116-white.png
11116 black,Вилка прямая с заземлен. (Черная),2.43,500,11116-white.png
11120,Патрон Е 27 для ламп,1.73,500,11120.png
11121,Патрон Е 27 для ламп с вилкой штепсельной,1.73,500,11121.png
11122,Патрон Е 27 для ламп со штангодержателем,2.00,100,11122.png
11123,Патрон Е 27 для ламп (Поликарбонат),1.73,500,11123.png
11124,Патрон Е 27 настенный (Поликарбонат),1.86,500,11124.png
11125,Патрон Е 27 потолочный (Поликарбонат),1.86,500,11125.png
11126,Основание настенного светильника с патроном Е 27 ( Поликарбонат),2.75,192,11126.png
11127,Основание потолочного светильника с патроном Е 27( Поликарбонат),2.75,192,11127.png
11128,Вилка прямая с заземлением с выключателем,7.61,500,11128.png
11201 white,Выключатель для бра (Белый),1.86,750,11201-white.png
11201 black/black,Выключатель для бра (Черный),1.86,750,11201-black.png
11201 red/red,Выключатель для бра (Красный),1.86,750,11201-white.png
11201 white/red,Выключатель для бра (Белый/Черный),1.86,750,11201-white.png
11201 black/red,Выключатель для бра (Черный/Белый),1.86,750,11201-white.png
11202,"Переключатель к удленителю, с подсветкой",2.83,1000,11202.png
11203,Переключатель к удл. С терминалом с выключателем,2.55,1000,11202.png
